Kab_Kota;Kepadatan_Penduduk;Nilai_IPM;Penduduk_Miskin
Bogor;1852,78;73,63;7,05
Sukabumi;618,34;70,18;6,87
Cianjur;702,15;68,89;10,14
Bandung;2125,4;74,59;6,19
Garut;842,1;69,91;9,68
Tasikmalaya;704,12;69,98;10,23
Ciamis;852,4;73,64;7,39
Kuningan;948,15;71,56;11,88
Cirebon;2250,6;72,3;11
Majalengka;1045,3;71,37;10,82
Sumedang;742,9;74,57;9,1
Indramayu;874,2;70,72;11,93
Subang;794,3;72,05;9,49
Purwakarta;1042,5;73,99;8,41
Karawang;1345,2;73,82;7,86
Bekasi;1485,6;76,8;4,8
Bandung Barat;1354,2;70,77;10,49
Pangandaran;425,1;71,03;8,75
Kota Bogor;9452,1;79,03;6,53
Kota Sukabumi;7420,3;77,69;7,2
Kota Bandung;15124,5;83,75;3,87
Kota Cirebon;9104,2;78,09;9,02
Kota Bekasi;13420,6;83,55;4,01
Kota Depok;10425,8;83,05;2,34
Kota Cimahi;13540,1;80,3;4,39
Kota Tasikmalaya;4210,4;76,03;11,1
Kota Banjar;1845,2;75,01;5,85
